V3C99_003963	Hcon5G00000006920.1
V3C99_003964	Hcon5G00000006921.2
V3C99_003964	Hcon5G00000006921.1
V3C99_003965	Hcon5G00000006922.1
V3C99_003967	Hcon5G00000006924.2
V3C99_003972	Hcon5G00000006929.1
V3C99_003972	Hcon5G00000006929.3
V3C99_003972	Hcon5G00000006929.2
V3C99_003984	Hcon5G00000006941.9
V3C99_003984	Hcon5G00000006941.2
V3C99_003984	Hcon5G00000006941.8
V3C99_003984	Hcon5G00000006941.6
V3C99_003984	Hcon5G00000006941.7
V3C99_003984	Hcon5G00000006941.4
V3C99_003984	Hcon5G00000006941.3
V3C99_003984	Hcon5G00000006941.5
V3C99_003984	Hcon5G00000006941.1
V3C99_003986	Hcon5G00000006943.2
V3C99_003986	Hcon5G00000006943.1
V3C99_003991	Hcon5G00000006948.1
V3C99_003991	Hcon5G00000006948.2
V3C99_003994	Hcon5G00000006951.1
V3C99_003994	Hcon5G00000006951.3
V3C99_003994	Hcon5G00000006951.2
V3C99_004004	Hcon5G00000006961.1
V3C99_004005	Hcon5G00000006962.1
V3C99_004005	Hcon5G00000006962.2
V3C99_004023	Hcon5G00000006980.1
V3C99_004025	Hcon5G00000006982.1
V3C99_004029	Hcon5G00000006986.1
V3C99_004030	Hcon5G00000006987.1
V3C99_004054	Hcon5G00000007011.1
V3C99_004054	Hcon5G00000007011.2
V3C99_004058	Hcon5G00000007015.1
V3C99_004062	Hcon5G00000007019.2
V3C99_004062	Hcon5G00000007019.1
V3C99_004066	Hcon5G00000007023.1
V3C99_004080	Hcon5G00000007037.1
V3C99_004080	Hcon5G00000007037.2
V3C99_004082	Hcon5G00000007039.2
V3C99_004082	Hcon5G00000007039.1
V3C99_004086	Hcon5G00000007043.1
V3C99_004096	Hcon5G00000007053.1
V3C99_004102	Hcon5G00000007059.1
V3C99_004105	Hcon5G00000007062.2
V3C99_004105	Hcon5G00000007062.1
V3C99_004105	Hcon5G00000007062.3
V3C99_004106	Hcon5G00000007063.1
V3C99_004106	Hcon5G00000007063.3
V3C99_004111	Hcon5G00000007068.3
V3C99_004111	Hcon5G00000007068.1
V3C99_004116	Hcon5G00000007073.1
V3C99_004116	Hcon5G00000007073.2
V3C99_004118	Hcon5G00000007075.1
V3C99_004119	Hcon5G00000007076.2
V3C99_004119	Hcon5G00000007076.1
V3C99_004120	Hcon5G00000007077.1
V3C99_004120	Hcon5G00000007077.2
V3C99_004126	Hcon5G00000007083.1
V3C99_004127	Hcon5G00000007084.1
V3C99_004127	Hcon5G00000007084.2
V3C99_004143	Hcon5G00000007100.1
V3C99_004149	Hcon5G00000007106.1
V3C99_004150	Hcon5G00000007107.2
V3C99_004150	Hcon5G00000007107.1
V3C99_004157	Hcon5G00000007114.1
V3C99_004161	Hcon5G00000007118.2
V3C99_004161	Hcon5G00000007118.1
V3C99_004165	Hcon5G00000007122.1
V3C99_004171	Hcon5G00000007128.1
V3C99_004172	Hcon5G00000007129.1
V3C99_004174	Hcon5G00000007131.2
V3C99_004174	Hcon5G00000007131.4
V3C99_004174	Hcon5G00000007131.1
V3C99_004174	Hcon5G00000007131.3
V3C99_004176	Hcon5G00000007133.1
V3C99_004180	Hcon5G00000007137.1
V3C99_004183	Hcon5G00000007140.1
V3C99_004183	Hcon5G00000007140.2
V3C99_004189	Hcon5G00000007146.1
V3C99_004189	Hcon5G00000007146.2
V3C99_004196	Hcon5G00000007153.1
V3C99_004196	Hcon5G00000007153.2
V3C99_004197	Hcon5G00000007154.1
V3C99_004197	Hcon5G00000007154.2
V3C99_004199	Hcon5G00000007156.1
V3C99_004199	Hcon5G00000007156.2
V3C99_004200	Hcon5G00000007157.1
V3C99_004200	Hcon5G00000007157.2
V3C99_004201	Hcon5G00000007158.1
V3C99_004202	Hcon5G00000007159.1
V3C99_004204	Hcon5G00000007161.1
V3C99_004221	Hcon5G00000007178.1
V3C99_004221	Hcon5G00000007178.2
V3C99_004228	Hcon5G00000007185.1
V3C99_004245	Hcon5G00000007202.1
V3C99_004250	Hcon5G00000007207.1
V3C99_004251	Hcon5G00000007208.1
V3C99_004255	Hcon5G00000007212.1
V3C99_004261	Hcon5G00000007218.1
V3C99_004264	Hcon5G00000007221.2
V3C99_004265	Hcon5G00000007222.1
V3C99_004275	Hcon5G00000007232.1
V3C99_004276	Hcon5G00000007233.1
V3C99_004278	Hcon5G00000007235.1
V3C99_004279	Hcon5G00000007236.1
V3C99_004288	Hcon5G00000007245.1
V3C99_004288	Hcon5G00000007245.3
V3C99_004288	Hcon5G00000007245.4
V3C99_004288	Hcon5G00000007245.2
V3C99_004290	Hcon5G00000007247.6
V3C99_004290	Hcon5G00000007247.2
V3C99_004290	Hcon5G00000007247.1
V3C99_004290	Hcon5G00000007247.4
V3C99_004290	Hcon5G00000007247.3
V3C99_004290	Hcon5G00000007247.5
V3C99_004290	Hcon5G00000007247.7
V3C99_004291	Hcon5G00000007248.2
V3C99_004291	Hcon5G00000007248.1
V3C99_004303	Hcon5G00000007260.1
V3C99_004304	Hcon5G00000007261.1
V3C99_004305	Hcon5G00000007262.1
V3C99_004320	Hcon5G00000007277.2
V3C99_004322	Hcon5G00000007279.1
V3C99_004325	Hcon5G00000007282.1
V3C99_004335	Hcon5G00000007292.1
V3C99_004345	Hcon5G00000007302.1
V3C99_004346	Hcon5G00000007303.2
V3C99_004348	Hcon5G00000007305.1
V3C99_004348	Hcon5G00000007305.2
V3C99_004350	Hcon5G00000007307.1
V3C99_004352	Hcon5G00000007309.1
